"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 29 15:50:55 BRT 2022","Tue Mar 29 15:50:56 BRT 2022","266","","GET - Endpoint Policy","","","","Validar retorno - Detail",""
"passed","Tue Mar 29 15:51:03 BRT 2022","Tue Mar 29 15:51:03 BRT 2022","189","","GET - Endpoint Store","","","","Validar requisição - Termo Pendente",""
"passed","Tue Mar 29 15:51:03 BRT 2022","Tue Mar 29 15:51:03 BRT 2022","186","","GET - Endpoint Store","","","","Validar requisição - Cliente Base",""
"passed","Tue Mar 29 15:51:21 BRT 2022","Tue Mar 29 15:51:21 BRT 2022","282","","POST - Endpoint Tax Transactional Static","","","","Validar retorno - Find Ranked",""
"passed","Tue Mar 29 15:51:13 BRT 2022","Tue Mar 29 15:51:13 BRT 2022","248","","POST - Endpoint Financial Cycle","","","","Validar retorno - Find",""
"passed","Tue Mar 29 15:51:16 BRT 2022","Tue Mar 29 15:51:17 BRT 2022","218","","POST - Endpoint Policy","","","","Validar retorno - Formula validator",""
"passed","Tue Mar 29 15:51:05 BRT 2022","Tue Mar 29 15:51:11 BRT 2022","5336","","POST - Endpoint Business Management","","","","Update Tax Transactional",""
"passed","Tue Mar 29 15:50:52 BRT 2022","Tue Mar 29 15:50:52 BRT 2022","197","","GET - Endpoint Bloco","","","","Validar retorno erro API",""
"passed","Tue Mar 29 15:50:58 BRT 2022","Tue Mar 29 15:50:58 BRT 2022","258","","GET - Endpoint Profile","","","","Validar status code",""
"passed","Tue Mar 29 15:51:28 BRT 2022","Tue Mar 29 15:51:28 BRT 2022","299","","PUT - Endpoint Tax Transaction","","","","Validar retorno - Tax Transaction",""
"passed","Tue Mar 29 15:50:56 BRT 2022","Tue Mar 29 15:50:56 BRT 2022","238","","GET - Endpoint Policy","","","","Validar retorno - Tax Transaction",""
"passed","Tue Mar 29 15:51:17 BRT 2022","Tue Mar 29 15:51:19 BRT 2022","2403","","POST - Endpoint Policy","","","","Validar retorno - Policy",""
"passed","Tue Mar 29 15:51:00 BRT 2022","Tue Mar 29 15:51:01 BRT 2022","603","","GET - Endpoint Program","","","","Validar ProgramType",""
"passed","Tue Mar 29 15:51:24 BRT 2022","Tue Mar 29 15:51:24 BRT 2022","553","","POST - Endpoint Tax Transaction Mail Management","","","","Validar retorno - Find",""
"passed","Tue Mar 29 15:51:19 BRT 2022","Tue Mar 29 15:51:20 BRT 2022","206","","POST - Endpoint Policy","","","","Validar retorno - Export",""
"passed","Tue Mar 29 15:50:59 BRT 2022","Tue Mar 29 15:51:00 BRT 2022","268","","GET - Endpoint Program","","","","Validar status code",""
"passed","Tue Mar 29 15:50:50 BRT 2022","Tue Mar 29 15:50:51 BRT 2022","949","","GET - Endpoint Bill","","","","Validar CNPJ - Mensagem não encontrado",""
"passed","Tue Mar 29 15:50:48 BRT 2022","Tue Mar 29 15:50:48 BRT 2022","210","","GET - Endpoint ApprovalMatrix","","","","Validar texto status code",""
"passed","Tue Mar 29 15:50:52 BRT 2022","Tue Mar 29 15:50:52 BRT 2022","256","","GET - Endpoint Bloco","","","","Validar retorno API ",""
"passed","Tue Mar 29 15:50:56 BRT 2022","Tue Mar 29 15:50:56 BRT 2022","196","","GET - Endpoint Policy","","","","Validar retorno - Key Value List",""
"passed","Tue Mar 29 15:51:00 BRT 2022","Tue Mar 29 15:51:00 BRT 2022","308","","GET - Endpoint Program","","","","Validar Name",""
"passed","Tue Mar 29 15:51:14 BRT 2022","Tue Mar 29 15:51:15 BRT 2022","372","","POST - Endpoint Financial History","","","","Validar retorno sucesso - Transactions",""
"passed","Tue Mar 29 15:51:03 BRT 2022","Tue Mar 29 15:51:03 BRT 2022","185","","GET - Endpoint Store","","","","Validar requisição - Termo não habilitado",""
"passed","Tue Mar 29 15:51:00 BRT 2022","Tue Mar 29 15:51:00 BRT 2022","215","","GET - Endpoint Program","","","","Validar Id",""
"passed","Tue Mar 29 15:50:47 BRT 2022","Tue Mar 29 15:50:48 BRT 2022","1051","","GET - Endpoint ApprovalMatrix","","","","Validar status code",""
"passed","Tue Mar 29 15:51:13 BRT 2022","Tue Mar 29 15:51:13 BRT 2022","206","","POST - Endpoint Financial Cycle","","","","Validar retorno - Export",""
"passed","Tue Mar 29 15:51:11 BRT 2022","Tue Mar 29 15:51:11 BRT 2022","242","","POST - Endpoint Business Management","","","","Find by fiscal number",""
"passed","Tue Mar 29 15:51:19 BRT 2022","Tue Mar 29 15:51:19 BRT 2022","207","","POST - Endpoint Policy","","","","Validar retorno - Import",""
"passed","Tue Mar 29 15:51:21 BRT 2022","Tue Mar 29 15:51:22 BRT 2022","1196","","POST - Endpoint Tax Transactional Static","","","","Validar retorno - Find Calculate",""
"passed","Tue Mar 29 15:51:25 BRT 2022","Tue Mar 29 15:51:26 BRT 2022","326","","POST - Endpoint Title","","","","Validar retorno - Find Title",""
"passed","Tue Mar 29 15:51:05 BRT 2022","Tue Mar 29 15:51:05 BRT 2022","595","","POST - Endpoint Business Management","","","","Find tax transactional transactional",""
"passed","Tue Mar 29 15:50:54 BRT 2022","Tue Mar 29 15:50:54 BRT 2022","260","","GET - Endpoint Calculation Type","","","","Validar resposta body",""
"passed","Tue Mar 29 15:51:02 BRT 2022","Tue Mar 29 15:51:03 BRT 2022","255","","GET - Endpoint Store","","","","Validar requisição - Nova",""
"passed","Tue Mar 29 15:51:26 BRT 2022","Tue Mar 29 15:51:26 BRT 2022","192","","POST - Endpoint Title","","","","Validar retorno - Export Title",""
